"Client","Analyte","Station_ID","Station_Description","SampleType","Result","MRL","Unit","Status","Sampled","DATUM","DECIMAL_LAT","DECIMAL_LONG","StatusIdentifier","Comment","HUC","Database","SD","Detect"
"Ambient Water Quality Monitoring - DEQ","Dissolved Oxygen","10537","Winchuck River 1.3 miles upstream of Hwy 101","Grab Sample::GS",10.9,1,"mg/L","A",2013-11-19 07:30:00,"Assumed NAD83",42.007139,-124.186139,NA,"","17100312","Element","Element 10537",1
"Ambient Water Quality Monitoring - DEQ","Phosphate, Total as P","10537","Winchuck River 1.3 miles upstream of Hwy 101","Grab Sample::GS",0.05,0.01,"mg/L","A",2013-11-19 07:30:00,"Assumed NAD83",42.007139,-124.186139,NA,"","17100312","Element","Element 10537",1
"Ambient Water Quality Monitoring - DEQ","Total Suspended Solids","10537","Winchuck River 1.3 miles upstream of Hwy 101","Grab Sample::GS",43,1,"mg/L","A",2013-11-19 07:30:00,"Assumed NAD83",42.007139,-124.186139,NA,"","17100312","Element","Element 10537",1
"Ambient Water Quality Monitoring - DEQ","pH","10537","Winchuck River 1.3 miles upstream of Hwy 101","Grab Sample::GS",6.9,0.1,"pH Units","A",2016-07-13 07:19:00,"Assumed NAD83",42.007139,-124.186139,NA,"","17100312","Element","Element 10537",1
"Ambient Water Quality Monitoring - DEQ","pH","10537","Winchuck River 1.3 miles upstream of Hwy 101","Grab Sample::GS",7.4,0.1,"pH Units","A",2015-11-18 07:01:00,"Assumed NAD83",42.007139,-124.186139,NA,"","17100312","Element","Element 10537",1
"Ambient Water Quality Monitoring - DEQ","E. Coli","10537","Winchuck River 1.3 miles upstream of Hwy 101","Grab Sample::GS",20,1,"MPN/100 mL","B",2013-05-08 07:20:00,"Assumed NAD83",42.007139,-124.186139,NA,"HT1::B","17100312","Element","Element 10537",1
"Ambient Water Quality Monitoring - DEQ","Temperature","10537","Winchuck River 1.3 miles upstream of Hwy 101","Grab Sample::GS",16.7,-10,"°C","A",2016-07-13 07:19:00,"Assumed NAD83",42.007139,-124.186139,NA,"","17100312","Element","Element 10537",1
"Ambient Water Quality Monitoring - DEQ","Temperature","10537","Winchuck River 1.3 miles upstream of Hwy 101","Grab Sample::GS",10.6,-10,"°C","A",2015-11-18 07:01:00,"Assumed NAD83",42.007139,-124.186139,NA,"","17100312","Element","Element 10537",1
"Ambient Water Quality Monitoring - DEQ","Dissolved Oxygen","10537","Winchuck River 1.3 miles upstream of Hwy 101","Grab Sample::GS",8.5,1,"mg/L","A",2013-09-18 07:30:00,"Assumed NAD83",42.007139,-124.186139,NA,"","17100312","Element","Element 10537",1
"Ambient Water Quality Monitoring - DEQ","pH","10537","Winchuck River 1.3 miles upstream of Hwy 101","Grab Sample::GS",7.2,0.1,"pH Units","A",2013-09-18 07:30:00,"Assumed NAD83",42.007139,-124.186139,NA,"","17100312","Element","Element 10537",1
