"ASSESSMENT","RECORD_ID","STREAM_LAK","STREAM_NAM","LAKE_NAME","BEACH_NAME","LLID_STREA","LLID_STR_1","LLID_LAKE","EPA_BEACH_","SEGMENT_ID","HUC_4TH_CO","HUC_4TH_NA","HUC_3RD_NA","MILES","RM1","RM2","SEGMENT_MI","POLLUTANT","POLLUTANT_","SEASON","SEASON_ID","ASSESSME_1","ASSESSME_2","ACTION","ACTION_ID","NUMERIC_CR","AFFECTED_U","LISTING_ST","STATUS_ID","PREVIOUS_S","PREVIOUS_A","LISTING_YE","TMDL_INFO","CRITERIA","COMMENTS","SUMMARY","Shape_Leng","PlanName"
11314,5206,"West Birch Creek","West Birch Creek",NA,NA,1188340454850,1188340454850,0,NA,596,"17070103","Umatilla","Middle Columbia","0 to 19.7",0,19.7,19.7,"Sedimentation",11,"Undefined",72,2002,"2002/08/01","No action",21,5,"Salmonid fish spawning; Resident fish and aquatic life; Salmonid fish rearing","Cat 4A: Water quality limited, TMDL approved",14,"Previous Status: TMDL approved","Previous Action: Delisted - TMDL approved","Previous Assessment Year: 2002",NA,"The formation of appreciable bottom or sludge deposits or the formation of any organic or inorganic deposits deleterious to fish or other aquatic life or injurious to public health, recreation, or industry may not be allowed.",NA,"Previous Data:  USEPA Approval date: 5/9/2001",103330.459388,"McKay Reservoir-McKay Creek"
11277,5040,"East Birch Creek","East Birch Creek",NA,NA,1188340454850,1188340454850,0,NA,597,"17070103","Umatilla","Middle Columbia","0 to 10.3",0,10.3,10.3,"Temperature",12,"Summer",1,2002,"2002/08/01","No action",21,17,"Anadromous fish passage; Salmonid fish rearing","Cat 4A: Water quality limited, TMDL approved",14,"Previous Status: TMDL approved","Previous Action: Delisted - TMDL approved","Previous Assessment Year: 2002",NA,"Rearing: 17.8 C",NA,"Previous Data:  USEPA Approval date: 5/9/2001",53911.0366886,"McKay Reservoir-McKay Creek"
11270,5041,"Birch Creek","Birch Creek",NA,NA,1188815456560,1188815456560,0,NA,617,"17070103","Umatilla","Middle Columbia","0 to 15.6",0,15.6,15.6,"Temperature",12,"Summer",1,2002,"2002/08/01","No action",21,17,"Anadromous fish passage; Salmonid fish rearing","Cat 4A: Water quality limited, TMDL approved",14,"Previous Status: TMDL approved","Previous Action: Delisted - TMDL approved","Previous Assessment Year: 2002",NA,"Rearing: 17.8 C",NA,"Previous Data:  USEPA Approval date: 5/9/2001",80019.6564993,"McKay Reservoir-McKay Creek"
11283,5025,"McKay Creek","McKay Creek",NA,NA,1188411456680,1188411456680,0,NA,598,"17070103","Umatilla","Middle Columbia","0 to 5.9",0,5.9,5.9,"Temperature",12,"Summer",1,2002,"2002/08/01","No action",21,17,"Salmonid fish rearing; Anadromous fish passage","Cat 4A: Water quality limited, TMDL approved",14,"Previous Status: TMDL approved","Previous Action: Delisted - TMDL approved","Previous Assessment Year: 2002",NA,"Rearing: 17.8 C",NA,"Previous Data:  USEPA Approval date: 5/9/2001",30690.0359263,"McKay Reservoir-McKay Creek"
11405,5083,"McKay Creek","McKay Creek",NA,NA,1188411456680,1188411456680,0,NA,598,"17070103","Umatilla","Middle Columbia","0 to 5.9",0,5.9,5.9,"Fecal Coliform",3,"FallWinterSpring",2,2002,"2002/08/01","No action",21,29,"Water contact recreation","Cat 4A: Water quality limited, TMDL approved",14,"Previous Status: TMDL approved","Previous Action: Delisted - TMDL approved","Previous Assessment Year: 2002",NA,"Fecal coliform log mean of 200 organisms per 100 ml; no more than 10% > 400 per 100 ml",NA,"Previous Data:  USEPA Approval date: 5/9/2001",30690.0359263,"McKay Reservoir-McKay Creek"
11313,5042,"West Birch Creek","West Birch Creek",NA,NA,1188340454850,1188340454850,0,NA,596,"17070103","Umatilla","Middle Columbia","0 to 19.7",0,19.7,19.7,"Temperature",12,"Summer",1,2002,"2002/08/01","No action",21,17,"Salmonid fish rearing; Anadromous fish passage","Cat 4A: Water quality limited, TMDL approved",14,"Previous Status: TMDL approved","Previous Action: Delisted - TMDL approved","Previous Assessment Year: 2002",NA,"Rearing: 17.8 C",NA,"Previous Data:  USEPA Approval date: 5/9/2001",103330.459388,"McKay Reservoir-McKay Creek"
11406,5248,"McKay Creek","McKay Creek",NA,NA,1188411456680,1188411456680,0,NA,598,"17070103","Umatilla","Middle Columbia","0 to 5.9",0,5.9,5.9,"Fecal Coliform",3,"Summer",1,2002,"2002/08/01","No action",21,29,"Water contact recreation","Cat 4A: Water quality limited, TMDL approved",14,"Previous Status: TMDL approved","Previous Action: Delisted - TMDL approved","Previous Assessment Year: 2002",NA,"Fecal coliform log mean of 200 organisms per 100 ml; no more than 10% > 400 per 100 ml",NA,"Previous Data:  USEPA Approval date: 5/9/2001",30690.0359263,"McKay Reservoir-McKay Creek"
16952,14327,"Birch Creek","Birch Creek",NA,NA,1188815456560,1188815456560,0,NA,617,"17070103","Umatilla","Middle Columbia","0 to 15.6",0,15.6,15.6,"pH",10,"Summer",1,2004,"2005/04/25","No action",21,28,"Resident fish and aquatic life; Water contact recreation","Cat 4A: Water quality limited, TMDL approved",14,"Previous Status: Cat 4A: Water quality limited, TMDL approved","Previous Action: No status change","Previous Assessment Year: 2004",NA,"pH 6.5 to 9.0",NA,"Previous Data:  TMDL Approved: 5/9/2001",80019.6564993,"McKay Reservoir-McKay Creek"
16915,14290,"McKay Creek","McKay Creek",NA,NA,1188411456680,1188411456680,0,NA,598,"17070103","Umatilla","Middle Columbia","0 to 5.9",0,5.9,5.9,"pH",10,"FallWinterSpring",2,2004,"2005/04/25","No action",21,28,"Resident fish and aquatic life; Water contact recreation","Cat 4A: Water quality limited, TMDL approved",14,"Previous Status: Cat 4A: Water quality limited, TMDL approved","Previous Action: No status change","Previous Assessment Year: 2004",NA,"pH 6.5 to 9.0",NA,"Previous Data:  TMDL Approved: 5/9/2001",30690.0359263,"McKay Reservoir-McKay Creek"
28521,24686,"Nehalem River","Nehalem River",NA,NA,1238951456890,1238951456890,0,NA,31631,"17100202","Nehalem","Northern Oregon Coastal","36.2 to 94",36.2,94,57.8,"Dissolved Oxygen",6,"September 1 - June 15",49,2010,"2013/01/29","No action",21,4,NA,"Cat 5: Water quality limited, 303(d) list, TMDL needed",17,"Previous Status: Cat 5: Water quality limited, 303(d) list, TMDL needed","Previous Action: EPA addition to 303(d) list","Previous Assessment Year: 2010",NA,"Spawning: Not less than 11.0 mg/L or 95% of saturation",NA,"2010 Data:
EPA addition to 303(d) list 12/14/2012:  Ten exceedence of the spawning criteria  out of 23 days of sampling between 1/29/06 and 3/31/11 at LASAR station 34019, Nehalem River at Hwy 202 Bridge in Birkenfeld river mile 64.9.",303195.018029,"Cow Creek-Nehalem River"
